IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
F4:A-:B10	AA175	1	1	fimH27	AusGEM	2010	NA	Avian	Livestock	AusGEM_00031
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00146
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00147
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00166
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00168
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00169
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00170
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00171
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00172
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00173
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00174
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00175
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00176
F24:A-:B1	AA747	3	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00259
F24:A-:B1	AA747	3	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00261
F-:A-:B-	No F Plasmid	4	0	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00290
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00295
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00296
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00297
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00298
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00299
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00301
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00308
