name	F type	FIA type	FIB type	IncF RST
AB011549	F23	A-	B3	F23:A-:B3
AB024946	F13	A-	B4	F13:A-:B4
AB040415	S2	A-	B19	S2:A-:B19
AB255435	F17	A-	B5	F17:A-:B5
AB576781	S1	A-	B-	S1:A-:B-
AB605179	S1	A-	B1	S1:A-:B1
AB702969	F106	A-	B-	F106:A-:B-
AB759690	K5	A-	B-	K5:A-:B-
AE006471	S1	A-	B17	S1:A-:B17
AE017043	Y1	A-	B-	Y1:A-:B-
AF053946	Y1	A-	B-	Y1:A-:B-
AF074612	Y1	A-	B-	Y1:A-:B-
AF074613	F23	A-	B3	F23:A-:B3
AF102990	Y2	A-	B-	Y2:A-:B-
AF348706	F27	A-	B-	F27:A-:B-
AF386526	F27	A-	B-	F27:A-:B-
AF401292	F3	A3	B3!/B3!	F3:A3:B3!/B3!
AF550679	F24	A-	B1	F24:A-:B1
AL117189	Y1	A-	B-	Y1:A-:B-
AM886293	F36!/F22!	A1	B1	F36!/F22!:A1:B1
AP000342	F2	A-	B-	F2:A-:B-
AP001918	C1	A2	B16	C1:A2:B16
AP009242	F20	A-	B-	F20:A-:B-
AP009379	F29	A-	B10	F29:A-:B10
AP010910	F12	A-	B-	F12:A-:B-
AP010955	F30	A-	B-	F30:A-:B-
AP010963	F5	A-	B-	F5:A-:B-
AP011958	S1	A-	B17	S1:A-:B17
AP012056	K12	A21?*	B-	K12:A21?*:B-
AP014566	S1	A-	B1	S1:A-:B1
AP014654	F84*	A-	B56*	F84*:A-:B56*
AP014804	F43*	A-	B12*	F43*:A-:B12*
AP014806	F2	A-	B-	F2:A-:B-
AP014876	F2	A-	B-	F2:A-:B-
AP014877	F59?*	A-	B-	F59?*:A-:B-
AP017611	F107	A-	B58?	F107:A-:B58?
AP017618	F24	A-	B1	F24:A-:B1
AP017621	F24	A-	B1	F24:A-:B1
AP018136	F2	A-	B-	F2:A-:B-
AP018138	F2	A-	B-	F2:A-:B-
AP018139	F2	A-	B-	F2:A-:B-
AP018140	F40	A-	B-	F40:A-:B-
AP018144	F2	A-	B-	F2:A-:B-
AP018147	F2	A-	B-	F2:A-:B-
AP018353	F16	A-	B-	F16:A-:B-
AP018354	F96?	A-	B-	F96?:A-:B-
AP018456	F1	A2	B20?	F1:A2:B20?
AP018457	F1	A2	B20?	F1:A2:B20?
AP018458	F1	A2	B20?	F1:A2:B20?
AP018489	F23	A-	B3	F23:A-:B3
AP018565	F35	A-	B-	F35:A-:B-
AP018566	F35	A-	B-	F35:A-:B-
AP018568	F33	A-	B-	F33:A-:B-
AP018572	F33?	A-	B-	F33?:A-:B-
AP018574	F1	A1	B-	F1:A1:B-
AP018580	Y10?*	A-	B-	Y10?*:A-:B-
AP018581	Y10?*	A-	B-	Y10?*:A-:B-
AP018582	Y10?*	A-	B-	Y10?*:A-:B-
AP018584	K2	A-	B-	K2:A-:B-
AP018673	K7	A-	B-	K7:A-:B-
AP018674	F33	A-	B-	F33:A-:B-
AP018692	F23	A-	B3	F23:A-:B3
AP018785	F4!/F29!	A-	B10	F4!/F29!:A-:B10
AP018799	F59*	A-	B-	F59*:A-:B-
AP018800	F5	A-	B-	F5:A-:B-
AP018801	F82?	A-	B-	F82?:A-:B-
AP018805	F5	A-	B-	F5:A-:B-
AP018811	F40	A-	B-	F40:A-:B-
AP018830	K2	A-	B-	K2:A-:B-
AP018832	Y9	A-	B-	Y9:A-:B-
AP018833	F36	A4	B-	F36:A4:B-
AP018835	Y9	A-	B-	Y9:A-:B-
AP019191	F1	A1	B49	F1:A1:B49
AP019401	K6*	A-	B-	K6*:A-:B-
AP019405	K5	A-	B-	K5:A-:B-
AP019526	F1	A16?	B20	F1:A16?:B20
AP019635	Y10	A-	B-	Y10:A-:B-
AP019676	F24	A-	B1	F24:A-:B1
AP019677	F96?	A-	B-	F96?:A-:B-
AP019690	K21	A-	B-	K21:A-:B-
AP019705	F33*	A-	B-	F33*:A-:B-
AP019763	F5	A-	B-	F5:A-:B-
AY214164	F4	A-	B-	F4:A-:B-
AY458016	F2	A-	B-	F2:A-:B-
AY509003	S2	A-	B19	S2:A-:B19
AY517905	S4	A-	B-	S4:A-:B-
AY545598	F2	A-	B1	F2:A-:B1
AY879342	F27	A-	B-	F27:A-:B-
BX936399	Y1	A-	B-	Y1:A-:B-
CP000035	F25	A-	B-	F25:A-:B-
CP000037	F27	A-	B-	F27:A-:B-
CP000039	F27	A-	B-	F27:A-:B-
CP000244	F29	A-	B10	F29:A-:B10
CP000311	Y1	A-	B-	Y1:A-:B-
CP000648	K1	A-	B-	K1:A-:B-
CP000649	K1	A-	B-	K1:A-:B-
CP000669	Y1	A-	B-	Y1:A-:B-
CP000670	Y3	A-	B-	Y3:A-:B-
CP000722	Y1	A-	B-	Y1:A-:B-
CP000795	F11	A-	B-	F11:A-:B-
CP000796	F16	A-	B-	F16:A-:B-
CP000799	F6	A-	B-	F6:A-:B-
CP000836	C4	A-	B1	C4:A-:B1
CP000858	S1	A-	B18	S1:A-:B18
CP000902	Y1	A-	B-	Y1:A-:B-
CP000913	F2	A-	B-	F2:A-:B-
CP000966	K4	A21?*	B-	K4:A21?*:B-
CP000971	F24	A-	B1	F24:A-:B1
CP001049	Y1	A-	B-	Y1:A-:B-
CP001062	F27	A-	B-	F27:A-:B-
CP001064	F28	A-	B-	F28:A-:B-
CP001065	F2	A-	B-	F2:A-:B-
CP001122	F24	A-	B1	F24:A-:B1
CP001143	S3	A-	B-	S3:A-:B-
CP001162	C4	A2	B7	C4:A2:B7
CP001163	F23	A16?*	B3	F23:A16?*:B3
CP001362	S1	A-	B17	S1:A-:B17
CP001369	F23	A16?*	B3	F23:A16?*:B3
CP001384	F27	A-	B-	F27:A-:B-
CP001586	Y1	A-	B-	Y1:A-:B-
CP001590	Y1	A-	B-	Y1:A-:B-
CP001594	Y1	A-	B-	Y1:A-:B-
CP001609	Y1	A-	B-	Y1:A-:B-
CP001926	F23	A-	B3	F23:A-:B3
CP002089	F24	A-	B1	F24:A-:B1
CP002090	F24	A-	B1	F24:A-:B1
CP002168	F29	A-	B10	F29:A-:B10
CP002182	Y1	A-	B-	Y1:A-:B-
CP002247	Y2	A-	B-	Y2:A-:B-
CP002474	K5	A-	B-	K5:A-:B-
CP002488	S1	A-	B17	S1:A-:B17
CP002615	S1	A-	B17?	S1:A-:B17?
CP002730	F108	A-	B-	F108:A-:B-
CP003035	F29	A-	B10	F29:A-:B10
CP003224	K2	A-	B-	K2:A-:B-
CP003291	F48	A-	B25	F48:A-:B25
CP003299	F48	A-	B25	F48:A-:B25
CP003302	F48	A-	B25	F48:A-:B25
CP003387	S1	A-	B17	S1:A-:B17
CP004058	S1	A-	B17	S1:A-:B17
CP005931	C4	A-	B1	C4:A-:B1
CP006001	F30	A-	B-	F30:A-:B-
CP006002	F106	A-	B-	F106:A-:B-
CP006054	S1	A-	B-	S1:A-:B-
CP006635	C4	A-	B1	C4:A-:B1
CP006657	K1	A-	B-	K1:A-:B-
CP006663	K19	A-	B-	K19:A-:B-
CP006737	F82?*	A-	B-	F82?*:A-:B-
CP006746	Y3	A-	B-	Y3:A-:B-
CP006747	Y1	A-	B-	Y1:A-:B-
CP006749	Y3	A-	B-	Y3:A-:B-
CP006750	Y1	A-	B-	Y1:A-:B-
CP006752	Y3	A-	B-	Y3:A-:B-
CP006753	Y1	A-	B-	Y1:A-:B-
CP006756	Y3	A-	B-	Y3:A-:B-
CP006757	Y1	A-	B-	Y1:A-:B-
CP006760	Y3	A-	B-	Y3:A-:B-
CP006761	Y1	A-	B-	Y1:A-:B-
CP006779	Y3	A-	B-	Y3:A-:B-
CP006780	Y1	A-	B-	Y1:A-:B-
CP006789	F2	A1	B-	F2:A1:B-
CP006791	Y1	A-	B-	Y1:A-:B-
CP006795	Y1	A-	B-	Y1:A-:B-
CP006922	Y6	A-	B-	Y6:A-:B-
CP006927	K1	A-	B-	K1:A-:B-
CP007038	F27	A-	B-	F27:A-:B-
CP007150	F29	A-	B10	F29:A-:B10
CP007489	S1	A-	B17	S1:A-:B17
CP007508	S1	A-	B22	S1:A-:B22
CP007529	S1	A-	B22	S1:A-:B22
CP007582	S1	A-	B17	S1:A-:B17
CP007729	K1	A-	B-	K1:A-:B-
CP007730	K2	A-	B-	K2:A-:B-
CP007734	K20	A-	B-	K20:A-:B-
CP007736	K3	A21*	B-	K3:A21*:B-
CP008701	K23	A-	B-	K23:A-:B-
CP008715	F1	A1	B1	F1:A1:B1
CP008745	S1	A-	B17	S1:A-:B17
CP008789	K30?*	A21?*	B-	K30?*:A21?*:B-
CP008791	K21/Y6	A-	B-	K21/Y6:A-:B-
CP008800	K1	A-	B-	K1:A-:B-
CP008806	F23	A16?*	B3	F23:A16?*:B3
CP008829	K1	A-	B-	K1:A-:B-
CP008830	K2	A-	B-	K2:A-:B-
CP008833	K2	A-	B-	K2:A-:B-
CP008842	K17	A-	B-	K17:A-:B-
CP008843	Y7?*	A-	B-	Y7?*:A-:B-
CP008898	K14	A-	B-	K14:A-:B-
CP008927	S1	A-	B22	S1:A-:B22
CP008930	K1	A-	B-	K1:A-:B-
CP008958	F23	A-	B3	F23:A-:B3
CP009053	F19	A-	B9	F19:A-:B9
CP009115	K2	A-	B-	K2:A-:B-
CP009167	F57?	A6	B10	F57?:A6:B10
CP009231	F36!/F31!	A16?	B1	F36!/F31!:A16?:B1
CP009232	F36!/F31!	A16?	B1	F36!/F31!:A16?:B1
CP009233	F2	A16?	B20	F2:A16?:B20
CP009275	K25	A-	B-	K25:A-:B-
CP009466	S5?*	A-	B-	S5?*:A-:B-
CP009491	Y1	A-	B-	Y1:A-:B-
CP009703	Y1	A-	B-	Y1:A-:B-
CP009711	Y1	A-	B-	Y1:A-:B-
CP009713	Y1	A-	B-	Y1:A-:B-
CP009714	Y3	A-	B-	Y3:A-:B-
CP009721	Y1	A-	B-	Y1:A-:B-
CP009758	Y1	A-	B-	Y1:A-:B-
CP009777	K1	A-	B-	K1:A-:B-
CP009779	Y1	A-	B-	Y1:A-:B-
CP009783	Y1	A-	B-	Y1:A-:B-
CP009835	Y1	A-	B-	Y1:A-:B-
CP009837	Y2	A-	B-	Y2:A-:B-
CP009842	Y1	A-	B-	Y1:A-:B-
CP009856	K14	A-	B-	K14:A-:B-
CP009860	F1	A1	B1	F1:A1:B1
CP009875	K2	A-	B-	K2:A-:B-
CP009879	K7	A-	B-	K7:A-:B-
CP009905	Y1	A-	B-	Y1:A-:B-
CP009937	Y1	A-	B-	Y1:A-:B-
CP009972	Y1	A-	B-	Y1:A-:B-
CP009990	Y1	A-	B-	Y1:A-:B-
CP009995	Y1	A-	B-	Y1:A-:B-
CP010022	Y1	A-	B-	Y1:A-:B-
CP010069	Y1	A-	B-	Y1:A-:B-
CP010120	F22*	A-	B42	F22*:A-:B42
CP010123	F17*	A-	B79*	F17*:A-:B79*
CP010124	F100*	A-	B-	F100*:A-:B-
CP010126	F25*	A-	B24	F25*:A-:B24
CP010138	F2	A-	B-	F2:A-:B-
CP010139	F63*	A-	B-	F63*:A-:B-
CP010141	C4	A-	B1	C4:A-:B1
CP010147	C4	A-	B1	C4:A-:B1
CP010149	C4	A-	B1	C4:A-:B1
CP010158	F24	A-	B1	F24:A-:B1
CP010174	F2	A-	B-	F2:A-:B-
CP010181	F59?*	A-	B46*	F59?*:A-:B46*
CP010184	F59?*	A-	B46*	F59?*:A-:B46*
CP010187	F92*	A-	B67*	F92*:A-:B67*
CP010192	F45?*	A-	B59*	F45?*:A-:B59*
CP010197	F92*	A-	B67*	F92*:A-:B67*
CP010201	F20	A-	B12	F20:A-:B12
CP010207	F92*	A-	B67*	F92*:A-:B67*
CP010209	F14	A-	B-	F14:A-:B-
CP010214	F92*	A-	B67*	F92*:A-:B67*
CP010215	F14	A-	B-	F14:A-:B-
CP010222	F92*	A-	B67*	F92*:A-:B67*
CP010223	F14	A-	B-	F14:A-:B-
CP010232	F24	A-	B1	F24:A-:B1
CP010239	F2	A-	B11*	F2:A-:B11*
CP010241	F22*	A-	B42	F22*:A-:B42
CP010246	Y1	A-	B-	Y1:A-:B-
CP010248	Y3	A-	B-	Y3:A-:B-
CP010305	F23	A16?*	B3	F23:A16?*:B3
CP010316	F24	A-	B1	F24:A-:B1
CP010345	F56?	A6	B24*	F56?:A6:B24*
CP010363	Y7?*	A21*	B-	Y7?*:A21*:B-
CP010372	F36!/F31!	A4	B1	F36!/F31!:A4:B1
CP010390	K7	A-	B-	K7:A-:B-
CP010393	K1	A-	B-	K1:A-:B-
CP010830	F27	A-	B-	F27:A-:B-
CP010882	F1	A2	B20	F1:A2:B20
CP011019	F59?*	A-	B46*	F59?*:A-:B46*
CP011064	F36	A4	B-	F36:A4:B-
CP011065	F2	A-	B-	F2:A-:B-
CP011135	F2	A-	B-	F2:A-:B-
CP011136	F98	A-	B65	F98:A-:B65
CP011287	Y2	A-	B-	Y2:A-:B-
CP011332	F48	A-	B25	F48:A-:B25
CP011395	S1	A-	B22	S1:A-:B22
CP011417	F28	A-	B-	F28:A-:B-
CP011418	F51	A-	B10	F51:A-:B10
CP011493	F2	A1	B1	F2:A1:B1
CP011496	C1*	A2	B-	C1*:A2:B-
CP011577	K1	A-	B-	K1:A-:B-
CP011595	S5?*	A-	B-	S5?*:A-:B-
CP011615	S5?*	A-	B-	S5?*:A-:B-
CP011621	Y6	A-	B-	Y6:A-:B-
CP011623	K15	A-	B-	K15:A-:B-
CP011633	Y7	A-	B-	Y7:A-:B-
CP011634	Y7?*	A21?*	B-	Y7?*:A21?*:B-
CP011641	K5	A-	B-	K5:A-:B-
CP011840	S1	A-	B22	S1:A-:B22
CP011843	S1	A-	B22	S1:A-:B22
CP011916	F4	A-	B1	F4:A-:B1
CP011943	S1	A-	B22	S1:A-:B22
CP011977	K1	A-	B-	K1:A-:B-
CP011981	K1	A-	B-	K1:A-:B-
CP011986	K2	A-	B-	K2:A-:B-
CP011990	K1	A-	B-	K1:A-:B-
CP011991	K2	A-	B-	K2:A-:B-
CP012000	K2	A-	B-	K2:A-:B-
CP012113	F24	A-	B1?*	F24:A-:B1?*
CP012138	F27	A-	B-	F27:A-:B-
CP012139	F2	A-	B-	F2:A-:B-
CP012142	F27	A-	B-	F27:A-:B-
CP012197	F36!/F36!	A16?	B1	F36!/F36!:A16?:B1
CP012345	S2	A-	B19	S2:A-:B19
CP012348	S3	A-	B-	S3:A-:B-
CP012377	F52	A-	B52	F52:A-:B52
CP012397	S1	A-	B22	S1:A-:B22
CP012492	F19	A-	B-	F19:A-:B-
CP012493	F40	A-	B-	F40:A-:B-
CP012495	F40	A-	B-	F40:A-:B-
CP012496	F19	A-	B-	F19:A-:B-
CP012566	K7	A-	B-	K7:A-:B-
CP012567	K5	A-	B-	K5:A-:B-
CP012571	K7	A-	B-	K7:A-:B-
CP012572	K5	A-	B-	K5:A-:B-
CP012626	F107	A-	B1	F107:A-:B1
CP012632	F2	A-	B-	F2:A-:B-
CP012634	F29	A-	B10	F29:A-:B10
CP012636	F2	A-	B1	F2:A-:B1
CP012683	F46	A-	B20	F46:A-:B20
CP012803	F23	A-	B3	F23:A-:B3
CP012884	K8	A-	B-	K8:A-:B-
CP012928	F2	A-	B-	F2:A-:B-
CP012988	K7	A-	B-	K7:A-:B-
CP012993	K7	A-	B-	K7:A-:B-
CP013026	F96	A-	B-	F96:A-:B-
CP013027	F67	A-	B38	F67:A-:B38
CP013028	F23	A-	B56*	F23:A-:B56*
CP013098	S1	A-	B22	S1:A-:B22
CP013186	F19	A-	B9	F19:A-:B9
CP013191	F111	A-	B-	F111:A-:B-
CP013192	F11?*	A-	B45*	F11?*:A-:B45*
CP013194	F15	A-	B-	F15:A-:B-
CP013323	K15	A-	B-	K15:A-:B-
CP013326	Y6	A-	B-	Y6:A-:B-
CP013339	K17	A-	B-	K17:A-:B-
CP013657	F2	A1	B-	F2:A1:B-
CP013721	S1	A-	B17	S1:A-:B17
CP013832	F2	A1	B1	F2:A1:B1
CP013833	F2	A1	B-	F2:A1:B-
CP013834	F35	A-	B-	F35:A-:B-
CP013836	F2	A1	B23	F2:A1:B23
CP013972	K21?*	A-	B-	K21?*:A-:B-
CP013973	K21?*	A-	B-	K21?*:A-:B-
CP013986	K2	A-	B-	K2:A-:B-
CP014005	K2	A-	B-	K2:A-:B-
CP014050	S1	A-	B17	S1:A-:B17
CP014073	K1	A-	B-	K1:A-:B-
CP014077	F5	A-	B-	F5:A-:B-
CP014110	F29	A-	B10	F29:A-:B10
CP014112	F2	A-	B-	F2:A-:B-
CP014121	K1	A-	B-	K1:A-:B-
CP014199	F17*	A-	B-	F17*:A-:B-
CP014200	F8	A-	B-	F8:A-:B-
CP014271	C1	A2	B16	C1:A2:B16
CP014273	C1	A2	B16	C1:A2:B16
CP014297	Y4	A-	B70	Y4:A-:B70
CP014320	F36	A-	B32	F36:A-:B32
CP014321	F2	A1	B-	F2:A1:B-
CP014357	S1	A-	B17	S1:A-:B17
CP014359	S1	A-	B17	S1:A-:B17
CP014489	F2	A-	B1	F2:A-:B1
CP014493	F29?*	A-	B10	F29?*:A-:B10
CP014496	F29	A-	B10	F29:A-:B10
CP014498	F1	A2	B20	F1:A2:B20
CP014523	F29	A-	B10	F29:A-:B10
CP014537	S1	A-	B17	S1:A-:B17
