name	Biocide	Metal	Heat	Virulence	Acid
HG796354					
NC_011736					
MG049738	qacEdelta1				
CP011006					
CP034813					
CP032609					
CP009667					
CP023816	qacEdelta1				
CP030417					
KP691634					
CP015043					
CP043622					
NC_011868					
AE016833	qacZ				
CP044515					
AP017613		merC,merP,merR,merT			
JQ418530					
CP017131					
CP018730					
CP034228					
CP036960					
CP026790					
CU468128					
CP017288					
CP009992					
CP010364					
CP041938					
AB852526		merA,merD,merE,merP,merR,merT			
CP044652					
KY075652					
NC_009453					
KT203286		arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
FJ985252					
CP045319					
NC_009787					
CP001240					
CP024865					
CP045398					
KX772391	qacL				
CP018242				ehxA,espP,etpD,katP,toxB	
CP020439					
CP017010					
CP041271					
NC_002137					
CP038169					
CP029434		arsA,arsD,arsR			
CP033526					
CP037457					
AP018271					
CP017904					
NC_018883					
CP040245					
CP016025					
KF793937	qacEdelta1				
LR134430					
CP021544	qacEdelta1	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
NC_019359					
CP025421					
CP013005					
CP009276					
LS999562					
CP039431					
CP037507					
NC_011776					
NC_024977					
CP006761					
CP000973					
KT982615					
CP011333					
MG651603					
CP045556	qacEdelta1				
CP010598					
KY000045					
CP002126					
CP010687					
KT780723					
NC_019170					
CP021826					
CP023938		merC,merP,merR,merT			
CP024914					
NC_019310					
AP017659					
CP026714					
CP001302					
CP020897					
CP043210					
CP033523					
CP018222					
AP018728					
LR027520					
CP034188					
NC_023918				becA,becB	
CP020905					
CP044958		arsD,arsR,terB,terC,terD,terE			
NC_003922					
CP001292					
CP024330					
KY436021		cadD		etb	
CP030625		cadD			
CP002402					
CP022302					
CP036314					
CP019074		merR,merT			
CP000618					
CP011066					
CP026150					
LT985272					
AP010934					
NC_014134					
AP009489					
CP031615					
CP032615					
CP018328					
CP013802					
KY014465		merA,merB,merD,merE,merP,merR,merT			
CP030046					
NC_012255					
CP001492					
CP003617					
CP002950					
CP031116					
KM583822					
CP008952					
AF469177					
CP028154					
CP034816					
NC_022228					
NC_012235					
CP044536					
AY662331					
CP000231					
NC_016030					
CP015352					
CP034898					
CP034592					
CP014063		cadD		sel30	
CP015525					
NC_025186	qacEdelta1				
LR134460					
CP034946					
CP003314					
CP039312		merA,merD,merE,merR,merT			
KX147633	qacEdelta1				
CP009021					
CP044818					
NC_000937					
CP009717					
CP030268					
CP028571					
CP013026					
NC_013324	qacB,qacR	cadD			
CP003431					
LT838199					
CP014527					
CP039931					
CP009009					
CP026944					
CP017784					
MH430883					
AB189671					
CP007729	qacEdelta1	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
CP010854					
CP018718	qacEdelta1				
NC_021570					
CP019210					
CP028602				ehxA,espP,etpD,katP,toxB	
KY086101					
AP018332					
AE001438					
NC_015698					
CP014669					
NC_017963					
CP014926					
MK471334					
CP043503					
AP004310					
CP001679					
CP035338					
CP027564					
HQ324782					
CP030146					
KU950310					
NC_023321					
CP010704					
NC_022123					
CP029547					
CP030765				ehxA,espP,etpD,katP,toxB	
CP013948					
CP025481		cadD			
KX785326					
CP029666		cadD			
AE007871					
CP036735					
CP040457	qacEdelta1	terD,terW,terZ			
CP026679					
NC_022044					
CP019921					
CP027703	qacEdelta1			iucA,iucC,iucD,iutA	
CP014770					
CP012655					
MN232214					
CP033252					
CP017287		merC,merP,merR,merT			
CP024500		arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
CP017380					
