ID	Cluster__autocolour
AusGEM_00720	1
AusGEM_01259	2
AusGEM_01631	3
AusGEM_01632	3
AusGEM_01633	4
AusGEM_01634	5
AusGEM_01635	6
AusGEM_01636	7
AusGEM_01637	7
AusGEM_01638	4
AusGEM_01639	4
AusGEM_01640	8
AusGEM_01641	4
AusGEM_01642	9
AusGEM_01643	8
AusGEM_01644	10
AusGEM_01645	10
AusGEM_01646	11
AusGEM_01647	10
AusGEM_01649	9
AusGEM_01650	12
AusGEM_01651	10
AusGEM_01652	13
AusGEM_01653	10
AusGEM_01654	14
AusGEM_01655	4
AusGEM_01656	10
AusGEM_01657	10
AusGEM_01658	13
AusGEM_01659	12
AusGEM_01660	10
AusGEM_01661	10
AusGEM_01662	10
AusGEM_01663	10
AusGEM_01664	10
AusGEM_01665	10
AusGEM_01666	10
AusGEM_01667	15
AusGEM_01668	12
AusGEM_01669	16
AusGEM_01670	7
AusGEM_01671	10
AusGEM_01672	13
AusGEM_01673	7
AusGEM_02000	17
AUSMDU00006614	18
AUSMDU00008000	19
AUSMDU00010661	20
AUSMDU00011864	19
AUSMDU00014007	21
AUSMDU00017115	22
AUSMDU00019365	23
AUSMDU00026934	24
AUSMDU00034761	25
AUSMDU00039410	26
AUSMDU00044080	19
AUSMDU00070157	27
ERR5355707	5
SRR11094172	28
SRR11094218	29
SRR11094236	30
SRR4241830	31
SRR5936508	32
SRR6456003	33
SRR6456009	10
SRR6456014	5
SRR6456025	34
SRR6456049	5
TEA_B093	31
TEA_B1700	14
