Sample 1	Sample 2	Matches	Mismatches	Jaccard Index	Mash-like distance	SNPs	SNP distance
AusGEM_00043	AusGEM_00054	4593704	1588056	0.743106	0.00514316	6480	0.00141063
AusGEM_00043	AusGEM_00056	4574155	1549377	0.74698	0.00504705	6465	0.00141338
AusGEM_00043	AusGEM_00063	4595128	1590560	0.742864	0.00514918	6477	0.00140954
AusGEM_00043	AusGEM_00076	5255657	16896	0.996795	5.18092e-05	48	9.13302e-06
AusGEM_00043	AusGEM_00077	5260488	14287	0.997291	4.37757e-05	43	8.17415e-06
AusGEM_00043	AusGEM_00078	4551078	1460424	0.757062	0.0048002	6329	0.00139066
AusGEM_00043	AusGEM_00084	5256031	11782	0.997763	3.61349e-05	51	9.70314e-06
AusGEM_00043	AusGEM_00109	5196619	71094	0.986504	0.000219906	62	1.19308e-05
AusGEM_00043	AusGEM_00241	4571545	1528667	0.749408	0.00498717	6498	0.0014214
AusGEM_00043	AusGEM_00242	4570266	1527725	0.749471	0.00498562	6490	0.00142005
AusGEM_00043	AusGEM_00243	4571752	1526409	0.749694	0.00498014	6495	0.00142068
AusGEM_00043	AusGEM_00244	4570973	1527247	0.749559	0.00498346	6498	0.00142158
AusGEM_00043	AusGEM_00247	4570413	1528571	0.749373	0.00498803	6497	0.00142153
AusGEM_00043	AusGEM_00248	4591835	1381564	0.768714	0.0045207	4735	0.00103118
AusGEM_00043	AusGEM_00249	4593847	1378302	0.769212	0.0045089	4757	0.00103552
AusGEM_00043	AusGEM_00250	4571328	1527952	0.749487	0.00498523	6496	0.00142103
AusGEM_00043	AusGEM_00262	4565156	1469743	0.756459	0.00481482	6103	0.00133687
AusGEM_00043	AusGEM_00263	4596564	1586519	0.74341	0.0051356	6505	0.00141519
AusGEM_00043	AusGEM_00265	4570782	1471919	0.756414	0.00481592	6213	0.00135929
AusGEM_00043	AusGEM_00266	4564649	1472268	0.756123	0.004823	6121	0.00134096
AusGEM_00043	AusGEM_00273	5254834	14884	0.997176	4.56529e-05	84	1.59853e-05
AusGEM_00043	AusGEM_00274	5254853	17150	0.996747	5.25968e-05	98	1.86494e-05
AusGEM_00043	AusGEM_00275	5255947	19027	0.996393	5.83364e-05	101	1.92163e-05
AusGEM_00043	AusGEM_00276	5255023	19010	0.996396	5.8296e-05	103	1.96003e-05
AusGEM_00043	AusGEM_00277	5256944	17637	0.996656	5.40663e-05	91	1.73104e-05
AusGEM_00043	AusGEM_00278	5254070	16232	0.99692	4.9791e-05	84	1.59876e-05
AusGEM_00043	AusGEM_00279	5257117	12872	0.997557	3.9467e-05	92	1.75001e-05
AusGEM_00043	AusGEM_00281	5255162	17688	0.996645	5.42416e-05	109	2.07415e-05
AusGEM_00043	AusGEM_00283	5254598	18709	0.996452	5.73753e-05	103	1.96019e-05
AusGEM_00043	AusGEM_00285	4570502	1684280	0.730721	0.0054553	6233	0.00136375
AusGEM_00043	AusGEM_00451	4585669	1402847	0.765744	0.00459137	6320	0.00137821
AusGEM_00043	AusGEM_00834	4569520	1479429	0.755424	0.00483998	6289	0.00137629
AusGEM_00043	AusGEM_01119	4588801	1467881	0.757643	0.00478612	6436	0.00140255
AusGEM_00043	SRR7469846	5256424	11123	0.997888	3.41119e-05	47	8.94144e-06
AusGEM_00043	SRR7469904	5263841	674	0.999872	2.06508e-06	4	7.59901e-07
AusGEM_00043	SRR7469914	4574096	1549468	0.746966	0.00504738	6464	0.00141318
AusGEM_00043	TEA_A1_12	4542048	1389480	0.765747	0.0045913	6021	0.00132561
AusGEM_00043	TEA_A2_22	5119292	152101	0.971146	0.00047569	97	1.89479e-05
AusGEM_00043	TEA_A3_57	4570888	1437635	0.760734	0.00471146	6489	0.00141964
AusGEM_00043	TEA_A3_8	4517441	1467218	0.754837	0.00485427	6090	0.00134811
AusGEM_00043	TEA_A3_9	4526765	1497325	0.751444	0.00493717	6302	0.00139216
AusGEM_00043	TEA_A4_12	4514861	1514579	0.748803	0.00500206	6276	0.00139008
AusGEM_00043	TEA_A4_2	4566801	1511784	0.751293	0.00494085	6307	0.00138105
AusGEM_00043	TEA_A4_32	4516944	1502123	0.750439	0.00496181	6290	0.00139253
AusGEM_00043	TEA_A4_9	4572540	1492682	0.753895	0.00487723	6517	0.00142525
AusGEM_00043	TEA_B1818	4534740	1390149	0.765371	0.00460026	3959	0.000873038
AusGEM_00043	TEA_C1_101	4540410	1499676	0.751713	0.00493057	6471	0.0014252
AusGEM_00043	TEA_C1_102	4537508	1424778	0.761035	0.00470421	6277	0.00138336
AusGEM_00043	TEA_C1_111	4587012	1575187	0.744379	0.00511149	6477	0.00141203
AusGEM_00043	TEA_C2_115	4592281	1487657	0.755317	0.00484258	6703	0.00145962
AusGEM_00043	TEA_C2_68	4557623	1459371	0.757458	0.00479058	6297	0.00138164
AusGEM_00043	TEA_C2_94	4532832	1495916	0.75187	0.00492673	6292	0.00138809
AusGEM_00043	TEA_C3_43	4550080	1470965	0.755696	0.00483336	6434	0.00141404
AusGEM_00043	TEA_C4_53	4509425	1507607	0.749443	0.00498629	6260	0.0013882
AusGEM_00043	TEA_C4_65	4570161	1540375	0.747915	0.00502395	6281	0.00137435
AusGEM_00043	TEA_E7715	4551289	1496000	0.752616	0.00490846	6322	0.00138906
AusGEM_00043	TEA_M688	4432820	1367160	0.764282	0.0046263	5849	0.00131948
AusGEM_00043	TEA_W1_79	4612554	1124615	0.803977	0.00371067	4295	0.000931154
AusGEM_00043	TEA_W3_72	4529005	1482543	0.753384	0.00488969	6259	0.00138198
AusGEM_00054	AusGEM_00056	5378864	187351	0.966341	0.000556954	59	1.09689e-05
AusGEM_00054	AusGEM_00063	5507609	12990	0.997647	3.80194e-05	23	4.17604e-06
AusGEM_00054	AusGEM_00076	4590176	1595250	0.742095	0.00516835	6496	0.0014152
