name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
AusGEM_01796	-	O8	H11	O8:H11	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:0.76;	O8-14-wzm;O8-4-wzt-origin;H11-1-fliC-origin;	100;100;99.91;	100;100;76;	contig00010;contig00010;contig00006;	27231-28025;26017-27231;150992-152099;	795;1215;1108;	v1.0 (11-03-2020)	-
SRR9924628	-	O153	H9	O153:H9	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O153-3-wzx-origin;O153-4-wzy-origin;H9-5-fliC;	99.915;100;99.901;	100;100;100;	contig00016;contig00016;contig00001;	69470-70648;67335-68513;91291-93303;	1179;1179;2013;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
AusGEM_00830	-	O107/O117	H5	O107/O117:H5	-	Based on 3 allele(s)	wzx:0.998;wzy:0.997;fliC:1;	O107-1-wzx-origin;O107-2-wzy-origin;H5-7-fliC;	99.754;99.698;100;	100;100;100;	contig00003;contig00003;contig00014;	345963-347180;347173-348495;75246-76555;	1218;1323;1310;	v1.0 (11-03-2020)	High similarity O-antigen group 8:O107/O117 as per A.Iguchi et.al (PMID: 25428893)
SRR5512158	-	-	H7	-:H7	-	Based on 1 allele(s)	fliC:1;	H7-3-fliC-origin;	100;	100;	contig00001;	386824-388581;	1758;	v1.0 (11-03-2020)	-
SRR7724609	-	O83	H42	O83:H42	-	Based on 3 allele(s)	wzx:0.999;wzy:0.999;fliC:1;	O83-3-wzx-origin;O83-2-wzy-origin;H42-13-fliC;	99.855;99.919;100;	100;100;100;	contig00015;contig00015;contig00027;	51009-52385;49777-51012;11232-12511;	1377;1236;1280;	v1.0 (11-03-2020)	-
AUSMDU00037794	-	O64	H10	O64:H10	-	Based on 3 allele(s)	wzx:0.689;wzy:1;fliC:1;	O64-1-wzx-origin;O64-2-wzy-origin;H10-10-fliC;	99.888;100;100;	69;100;100;	contig00066;contig00066;contig00046;	1-891;1966-3195;10733-11994;	891;1230;1262;	v1.0 (11-03-2020)	-
AusGEM_01233	-	O15	H4	O15:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	contig00006;contig00006;contig00024;	30671-31915;28460-29638;55177-56226;	1245;1179;1050;	v1.0 (11-03-2020)	-
AusGEM_02018	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;99.666;	100;100;100;	contig00026;contig00026;contig00001;	5640-6896;6896-8239;485483-487276;	1257;1344;1794;	v1.0 (11-03-2020)	-
AusGEM_00160	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-15-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00014;contig00014;contig00003;	130921-132183;128247-129209;276779-278089;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
AusGEM_01175	-	O75	H7	O75:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H7-4-fliC-origin;	100;100;100;	100;100;100;	contig00001;contig00001;contig00013;	639452-640984;633480-634553;2695-4452;	1533;1074;1758;	v1.0 (11-03-2020)	-
