ID	Tx:2500	Tx:2250	Tx:2000	Tx:1750	Tx:1500	Tx:1250	Tx:1000	Tx:750	Tx:500	Tx:400	Tx:300	Tx:200	Tx:150	Tx:100	Tx:75	Tx:50	Tx:25	Tx:10	Tx:9	Tx:8	Tx:7	Tx:6	Tx:5	Tx:4	Tx:3	Tx:2	Tx:1	Tx:0
AusGEM_00001	1	14	11	30	60	60	60	60	41	37	32	322	10	1941	970	30	1179	589	589	589	589	589	589	589	589	589	294	UC
AusGEM_00002	1	1	70	141	283	283	283	141	141	35	10	547	547	273	273	480	120	224	491	61	61	61	1211	605	607	607	607	UC
AusGEM_00003	1	4	13	18	72	72	72	72	144	72	72	144	752	188	567	1134	567	283	283	283	566	566	566	566	566	566	566	UC
AusGEM_00004	1	18	18	13	112	112	112	112	112	224	224	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00005	1	2	8	10	16	20	4	249	124	214	214	71	611	305	19	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00006	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	267	133	66	33	300	300	300	UC	UC	UC	UC
AusGEM_00007	1	8	77	154	154	308	308	308	308	1	93	114	405	405	405	405	1621	101	101	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00008	1	7	45	15	36	36	36	35	29	82	96	562	562	562	1125	1125	562	562	562	562	1124	1124	1124	1124	1124	1124	562	UC
AusGEM_00009	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	1	2191	2191	2191	2191	1095	1095	1095	547	547	UC
AusGEM_00010	1	2	8	10	10	12	19	69	8	99	177	150	120	481	240	133	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00011	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	184	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00012	1	3	31	62	107	107	214	271	271	33	140	430	348	174	271	348	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00014	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	584	484	484	484	484	484	484	484	242	568	284	UC
AusGEM_00015	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	584	484	484	484	484	484	484	484	242	568	284	UC
AusGEM_00018	1	2	8	4	53	26	37	8	62	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00019	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	733	1466	78	78	78	39	UC	UC	UC	UC	UC	UC	UC
AusGEM_00020	1	18	18	13	105	105	52	252	97	24	125	329	329	329	329	329	117	243	60	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00021	1	5	14	93	46	184	184	184	184	184	89	152	9	208	208	208	52	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00022	1	18	18	13	105	105	52	252	34	69	14	276	276	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00024	1	18	18	13	105	105	52	252	97	24	269	269	507	86	114	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00025	1	7	45	12	135	135	135	270	270	270	541	541	270	270	1081	1081	270	540	540	540	540	540	270	270	UC	UC	UC	UC
AusGEM_00026	1	7	45	12	135	135	135	270	270	270	541	541	270	270	1081	1081	270	540	540	540	540	540	270	270	UC	UC	UC	UC
AusGEM_00027	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00029	1	14	11	30	60	60	60	60	41	37	32	322	10	1941	970	30	86	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00030	1	14	11	30	60	60	60	60	41	37	32	322	10	1941	970	30	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00031	1	4	13	41	20	31	62	177	17	223	81	15	57	460	460	230	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00032	1	5	100	100	200	100	50	50	50	100	50	146	146	891	445	222	870	870	870	870	870	870	870	870	435	435	435	UC
AusGEM_00033	1	5	14	93	46	184	184	184	184	184	89	152	9	208	208	208	52	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00035	1	6	25	70	140	140	70	149	149	18	23	303	303	151	37	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00036	1	18	18	13	105	105	52	252	97	24	125	329	329	329	329	329	117	243	60	202	202	202	540	540	540	135	UC	UC
AusGEM_00037	1	3	31	62	107	107	214	271	271	33	140	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00038	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	584	484	484	484	484	484	484	484	242	UC	UC	UC
AusGEM_00040	1	18	18	13	105	105	52	252	97	24	125	329	329	329	329	329	117	243	60	202	202	202	540	540	540	135	UC	UC
AusGEM_00041	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00043	1	3	31	62	107	107	214	213	18	400	400	400	800	800	800	400	402	390	97	97	97	97	97	596	596	596	596	UC
AusGEM_00044	1	1	70	141	283	283	283	141	141	35	10	547	547	273	273	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00045	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	584	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00046	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	584	255	255	255	255	255	255	63	UC	UC	UC	UC
AusGEM_00048	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	1	65	542	542	271	271	434	434	434	434	UC
AusGEM_00049	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	584	255	255	255	255	255	255	63	130	UC	UC	UC
AusGEM_00050	1	7	48	48	24	149	74	509	254	63	246	246	246	492	492	123	148	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00052	1	3	31	62	107	107	214	271	271	33	140	430	348	174	108	125	584	255	255	255	255	255	255	63	130	UC	UC	UC
AusGEM_00053	1	7	48	48	24	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00054	1	3	31	62	107	107	214	213	362	181	84	168	252	76	84	51	272	230	230	230	230	115	475	237	118	UC	UC	UC
AusGEM_00055	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	1	65	542	542	271	271	434	434	434	434	UC
AusGEM_00056	1	3	31	62	107	107	214	213	362	181	84	168	252	76	84	51	272	230	230	230	230	115	1170	1170	1170	1170	146	UC
AusGEM_00057	1	2	8	4	117	117	58	29	188	188	443	443	55	440	189	126	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00058	1	7	45	15	36	36	36	35	48	32	21	615	615	615	615	2461	615	307	307	307	307	307	307	307	307	615	615	UC
AusGEM_00060	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	733	1466	78	78	78	39	UC	UC	UC	UC	UC	UC	UC
AusGEM_00061	1	1	70	141	283	283	283	141	141	35	10	547	547	273	273	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00062	1	14	3	171	171	85	331	165	330	165	481	120	100	214	145	313	313	313	313	313	313	313	313	313	313	313	313	UC
AusGEM_00063	1	3	31	62	107	107	214	213	362	181	84	168	252	76	84	51	272	230	230	230	230	115	475	237	118	UC	UC	UC
AusGEM_00064	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	1	65	542	542	271	271	UC	UC	UC	UC	UC
AusGEM_00065	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	733	1466	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00066	1	1	70	141	283	283	283	141	141	35	10	547	547	273	273	480	120	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00067	1	18	18	13	105	105	52	252	97	24	125	329	329	329	329	329	117	243	60	202	202	202	UC	UC	UC	UC	UC	UC
AusGEM_00068	1	18	18	13	105	105	52	252	97	24	269	269	507	86	114	555	493	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00069	1	3	31	62	107	107	214	271	271	33	140	430	348	174	271	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
