name	pMLST_scheme	Sequence_type	Nearest_ST
HG796354	incac	None	
NC_011736	incac	None	
MG049738	incac	None	
CP011006	incac	None	
CP034813	incac	None	
CP032609	incac	None	
CP009667	incac	None	
CP023816	incac	None	
CP030417	incac	None	
KP691634	incac	None	
CP015043	incac	None	
CP043622	incac	None	
NC_011868	incac	None	
AE016833	incac	None	
CP044515	incac	None	
AP017613	incac	None	
JQ418530	incac	None	
CP017131	incac	None	
CP018730	incac	None	
CP034228	incac	None	
CP036960	incac	None	
CP026790	incac	None	
CU468128	incac	None	
CP017288	incac	None	
CP009992	incac	None	
CP010364	incac	None	
CP041938	incac	None	
AB852526	incac	None	
CP044652	incac	None	
KY075652	incac	None	
NC_009453	incac	None	
KT203286	incac	None	
FJ985252	incac	None	
CP045319	incac	None	
NC_009787	incac	None	
CP001240	incac	None	
CP024865	incac	None	
CP045398	incac	None	
KX772391	incac	None	
CP018242	incac	None	
CP020439	incac	None	
CP017010	incac	None	
CP041271	incac	None	
NC_002137	incac	None	
CP038169	incac	None	
CP029434	incac	None	
CP033526	incac	None	
CP037457	incac	None	
AP018271	incac	None	
CP017904	incac	None	
NC_018883	incac	None	
CP040245	incac	None	
CP016025	incac	None	
KF793937	incac	None	
LR134430	incac	None	
CP021544	incac	None	
NC_019359	incac	None	
CP025421	incac	None	
CP013005	incac	None	
CP009276	incac	None	
LS999562	incac	None	
CP039431	incac	None	
CP037507	incac	None	
NC_011776	incac	None	
NC_024977	incac	None	
CP006761	incac	None	
CP000973	incac	None	
KT982615	incac	None	
CP011333	incac	None	
MG651603	incac	None	
CP045556	incac	None	
CP010598	incac	None	
KY000045	incac	None	
CP002126	incac	None	
CP010687	incac	None	
KT780723	incac	None	
NC_019170	incac	None	
CP021826	incac	None	
CP023938	incac	None	
CP024914	incac	None	
NC_019310	incac	None	
AP017659	incac	None	
CP026714	incac	None	
CP001302	incac	None	
CP020897	incac	None	
CP043210	incac	None	
CP033523	incac	None	
CP018222	incac	None	
AP018728	incac	None	
LR027520	incac	None	
CP034188	incac	None	
NC_023918	incac	None	
CP020905	incac	None	
CP044958	incac	None	
NC_003922	incac	None	
CP001292	incac	None	
CP024330	incac	None	
KY436021	incac	None	
CP030625	incac	None	
CP002402	incac	None	
CP022302	incac	None	
CP036314	incac	None	
CP019074	incac	None	
CP000618	incac	None	
CP011066	incac	None	
CP026150	incac	None	
LT985272	incac	None	
AP010934	incac	None	
NC_014134	incac	None	
AP009489	incac	None	
CP031615	incac	None	
CP032615	incac	None	
CP018328	incac	None	
CP013802	incac	None	
KY014465	incac	3*	
CP030046	incac	None	
NC_012255	incac	None	
CP001492	incac	None	
CP003617	incac	None	
CP002950	incac	None	
CP031116	incac	None	
KM583822	incac	None	
CP008952	incac	None	
AF469177	incac	None	
CP028154	incac	None	
CP034816	incac	None	
NC_022228	incac	None	
NC_012235	incac	None	
CP044536	incac	None	
AY662331	incac	None	
CP000231	incac	None	
NC_016030	incac	None	
CP015352	incac	None	
CP034898	incac	None	
CP034592	incac	None	
CP014063	incac	None	
CP015525	incac	None	
NC_025186	incac	None	
LR134460	incac	None	
CP034946	incac	None	
CP003314	incac	None	
CP039312	incac	None	
KX147633	incac	1	
CP009021	incac	None	
CP044818	incac	None	
NC_000937	incac	None	
CP009717	incac	None	
CP030268	incac	None	
CP028571	incac	None	
CP013026	incac	None	
NC_013324	incac	None	
CP003431	incac	None	
LT838199	incac	None	
CP014527	incac	None	
CP039931	incac	None	
CP009009	incac	None	
CP026944	incac	None	
CP017784	incac	None	
MH430883	incac	None	
AB189671	incac	None	
CP007729	incac	None	
CP010854	incac	None	
CP018718	incac	None	
NC_021570	incac	None	
CP019210	incac	None	
CP028602	incac	None	
KY086101	incac	None	
AP018332	incac	None	
AE001438	incac	None	
NC_015698	incac	None	
CP014669	incac	None	
NC_017963	incac	None	
CP014926	incac	None	
MK471334	incac	None	
CP043503	incac	None	
AP004310	incac	None	
CP001679	incac	None	
CP035338	incac	None	
CP027564	incac	None	
HQ324782	incac	None	
CP030146	incac	None	
KU950310	incac	None	
NC_023321	incac	None	
CP010704	incac	None	
NC_022123	incac	None	
CP029547	incac	None	
CP030765	incac	None	
CP013948	incac	None	
CP025481	incac	None	
KX785326	incac	None	
CP029666	incac	None	
AE007871	incac	None	
CP036735	incac	None	
CP040457	incac	None	
CP026679	incac	None	
NC_022044	incac	None	
CP019921	incac	None	
CP027703	incac	None	
CP014770	incac	None	
CP012655	incac	None	
MN232214	incac	None	
CP033252	incac	None	
CP017287	incac	None	
CP024500	incac	None	
CP017380	incac	None	
CP010911	incac	None	
AP018527	incac	None	
LN794248	incac	None	
CP028681	incac	None	
NC_019223	incac	None	
GQ293074	incac	None	
CP022909	incac	None	
CP034113	incac	None	
CP002973	incac	None	
CP010131	incac	None	
CP028697	incac	None	
CP021699	incac	None	
CP019215	incac	None	
CP036943	incac	None	
CP035348	incac	None	
NC_006278	incac	None	
CP015997	incac	None	
KT997783	incac	3	
NC_017183	incac	None	
CP021534	incac	None	
CU928147	incac	None	
CP041228	incac	None	
MK439381	incac	None	
NC_005862	incac	None	
CP021022	incac	None	
LC469775	incac	None	
CP015486	incac	None	
CP012106	incac	None	
CP022448	incac	None	
CP015914	incac	None	
KC222021	incac	None	
NC_015918	incac	None	
CP028593	incac	None	
CP033147	incac	None	
DQ227327	incac	None	
NC_003455	incac	None	
CP023286	incac	None	
CP017588	incac	None	
CP018693	incac	None	
CP018868	incac	None	
NC_008821	incac	None	
CP009339	incac	None	
NC_004670	incac	None	
AP011140	incac	None	
AP018192	incac	None	
CP019365	incac	None	
CP021410	incac	None	
MG825374	incac	None	
CP027698	incac	None	
CP016710	incac	None	
CP024151	incac	None	
CP010370	incac	None	
NC_015055	incac	None	
CP011383	incac	None	
CP045861	incac	None	
NC_002139	incac	None	
CP042480	incac	None	
CP002268	incac	None	
CP038792	incac	None	
NC_020451	incac	None	
NC_018980	incac	None	
EU935738	incac	None	
CP021796	incac	None	
NC_001378	incac	None	
CP040306	incac	None	
CP016427	incac	None	
CP018698	incac	3	
NC_013348	incac	None	
CP028344	incac	None	
CP040894	incac	None	
CP011431	incac	None	
CP031592	incac	None	
DQ011664	incac	None	
CP041108	incac	None	
NC_017494	incac	None	
NC_005564	incac	None	
CP001757	incac	None	
CP010592	incac	None	
LR134257	incac	None	
NC_020121	incac	None	
CP041525	incac	None	
MH423313	incac	None	
CP031914	incac	None	
CP029988	incac	None	
CP031360	incac	None	
CP043774	incac	None	
KX009063	incac	None	
CP001273	incac	None	
CP012754	incac	None	
CP035659	incac	None	
MG869624	incac	None	
EF432638	incac	None	
CP038010	incac	None	
CP017191	incac	None	
FP236827	incac	None	
AP010805	incac	None	
NC_016828	incac	None	
CP002577	incac	None	
NC_019961	incac	None	
CP025550	incac	None	
CP022921	incac	None	
CP033570	incac	None	
KF364956	incac	None	
CP015000	incac	None	
NC_009829	incac	None	
CP033890	incac	None	
CP039604	incac	None	
CP021730	incac	None	
CP024776	incac	None	
CP032212	incac	None	
CP021177	incac	None	
NC_011784	incac	None	
CP040842	incac	None	
CP031080	incac	None	
CP018771	incac	None	
CP028100	incac	None	
CP029763	incac	None	
CP003226	incac	None	
AP018545	incac	None	
CP041049	incac	None	
KY401053	incac	None	
AM180255	incac	None	
NC_019553	incac	None	
CP030515	incac	None	
NC_015699	incac	None	
CP002112	incac	None	
CP037247	incac	None	
AY907345	incac	None	
LT592147	incac	None	
NC_020261	incac	None	
AJ224743	incac	None	
AP018926	incac	None	
CP030674	incac	None	
NC_003125	incac	None	
CP001906	incac	None	
CP001923	incac	None	
CP031735	incac	None	
CP042971	incac	None	
CP012684	incac	None	
CP001005	incac	None	
CP044791	incac	None	
CP021100	incac	None	
CP034040	incac	None	
NC_019109	incac	None	
MH068822	incac	None	
CP034881	incac	None	
AP012168	incac	None	
NC_025106	incac	None	
NC_002138	incac	None	
CP016481	incac	None	
CP030215	incac	3	
MK413719	incac	None	
CP014152	incac	None	
KX810025	incac	None	
NC_011248	incac	None	
AP019743	incac	None	
KT693144	incac	None	
CP018325	incac	None	
NC_011640	incac	None	
CP010092	incac	None	
AP018138	incac	None	
CP017424	incac	None	
NC_019980	incac	None	
CP011615	incac	None	
CP018986	incac	None	
CP025283	incac	None	
CP021514	incac	None	
CP030916	incac	None	
CP031285	incac	None	
CP037274	incac	None	
CP019692	incac	None	
CP025504	incac	None	
CP042214	incac	None	
CP029953	incac	None	
CP013682	incac	None	
NC_006663	incac	None	
CP001597	incac	None	
CP000443	incac	None	
CP002785	incac	None	
MH626559	incac	None	
MK933271	incac	None	
CP026972	incac	None	
AP012162	incac	None	
CP043947	incac	None	
NC_011411	incac	None	
NC_006143	incac	None	
CP020582	incac	None	
HQ128580	incac	None	
NC_006399	incac	None	
CP003533	incac	None	
CP002430	incac	None	
NC_017533	incac	None	
CP002943	incac	None	
CP041642	incac	None	
EU092237	incac	None	
CP013256	incac	None	
NC_011264	incac	None	
AP019693	incac	None	
CP022081	incac	None	
CP030603	incac	None	
CP035048	incac	None	
AE001575	incac	None	
CP022613	incac	None	
CP000228	incac	None	
CP014254	incac	None	
CP045217	incac	None	
CP034733	incac	None	
CP015245	incac	None	
CP042127	incac	None	
CP034578	incac	None	
CP024582	incac	None	
KX756453	incac	None	
CP029737	incac	1	
CP024342	incac	None	
CP034050	incac	None	
CP013281	incac	None	
KC417495	incac	None	
CP006684	incac	None	
CP040082	incac	None	
AY112724	incac	None	
CP040876	incac	None	
CP019716	incac	None	
CP013191	incac	None	
LT985386	incac	None	
CP023831	incac	None	
CP001153	incac	None	
CP042623	incac	None	
CP026014	incac	None	
CP022284	incac	None	
CP001380	incac	None	
CP012955	incac	None	
NC_013128	incac	None	
KY000043	incac	None	
MF679146	incac	None	
AM167518	incac	None	
EU709732	incac	None	
CP002550	incac	None	
JN119829	incac	None	
CP043188	incac	None	
JF834909	incac	None	
CP031568	incac	None	
NC_017207	incac	None	
CP018203	incac	None	
CP033857	incac	None	
KJ721805	incac	None	
CP034477	incac	None	
MF495477	incac	None	
KX434882	incac	None	
CP033873	incac	None	
CP013848	incac	None	
CP034187	incac	None	
CP019281	incac	None	
JQ657805	incac	None	
KX785329	incac	None	
NC_024980	incac	None	
LT960791	incac	None	
NC_007414	incac	None	
CP033560	incac	None	
CP042414	incac	None	
NC_014753	incac	None	
CP010168	incac	None	
GQ900449	incac	None	
CP033863	incac	None	
HE603212	incac	None	
CP019714	incac	None	
CP005952	incac	None	
CP030981	incac	None	
KC020049	incac	None	
CP024341	incac	None	
CP000396	incac	None	
KP178913	incac	None	
FN543095	incac	None	
CP002823	incac	None	
CP021540	incac	None	
CP009433	incac	None	
LC477294	incac	None	
CP026426	incac	None	
CP018716	incac	3	
CP024373	incac	None	
CP020965	incac	None	
CP018453	incac	None	
CP040670	incac	None	
CP027525	incac	None	
LR026972	incac	None	
LR134454	incac	None	
CP012558	incac	None	
CP023713	incac	None	
NC_014911	incac	None	
KY770024	incac	None	
CP018714	incac	None	
MH522410	incac	None	
CP013706	incac	None	
CP039029	incac	None	
CP012107	incac	None	
CP013983	incac	None	
CP010158	incac	None	
HF677575	incac	None	
GQ149345	incac	None	
FM180570	incac	None	
CP028640	incac	None	
NC_012220	incac	None	
CP033627	incac	None	
AP018313	incac	None	
CP036541	incac	None	
CP022936	incac	None	
AP018547	incac	None	
FN868248	incac	None	
CU468132	incac	None	
NC_018969	incac	None	
CP007256	incac	None	
CP016006	incac	None	
CP025737	incac	None	
CP016746	incac	None	
CP023421	incac	None	
CP000311	incac	None	
HG813250	incac	None	
CP015441	incac	None	
CP020090	incac	None	
DQ302475	incac	None	
CP045608	incac	None	
NC_011228	incac	None	
CP019872	incac	None	
LT985268	incac	None	
CP032105	incac	None	
CP042868	incac	None	
CP044061	incac	None	
CP034397	incac	1*	
MF344582	incac	None	
CP001036	incac	None	
CP041020	incac	None	
CP003365	incac	None	
GQ900420	incac	None	
NC_019898	incac	None	
CP001532	incac	None	
NC_013962	incac	None	
CP009316	incac	None	
U38428	incac	None	
NC_010872	incac	None	
NC_012507	incac	None	
CP032536	incac	None	
CP014472	incac	None	
JX627580	incac	None	
CP041669	incac	None	
CP036456	incac	None	
CP026758	incac	None	
AP018214	incac	None	
CP009658	incac	None	
CP015158	incac	None	
CP024459	incac	None	
CP025686	incac	None	
KY000029	incac	None	
NC_010333	incac	None	
KJ484640	incac	None	
KT982616	incac	None	
AP019544	incac	None	
MF168945	incac	None	
CP040070	incac	None	
CP025679	incac	None	
CP021415	incac	None	
CP016363	incac	None	
CP020110	incac	None	
NC_019005	incac	None	
AP009487	incac	None	
CP019918	incac	None	
NC_012267	incac	None	
CP030571	incac	None	
CP036355	incac	None	
MF344559	incac	None	
JF827298	incac	None	
CP042054	incac	None	
NC_019033	incac	None	
CP011540	incac	3	
AB058947	incac	None	
NC_009794	incac	None	
CP024786	incac	None	
CP036152	incac	None	
CP003757	incac	None	
CP034407	incac	None	
CP027173	incac	None	
AP018559	incac	None	
CP027614	incac	None	
CP028646	incac	None	
CP018235	incac	None	
NC_009130	incac	None	
CP020602	incac	None	
MF415608	incac	None	
CP034740	incac	None	
KX009507	incac	None	
MH785236	incac	None	
AF164559	incac	None	
CP009696	incac	None	
CP017270	incac	None	
CP033797	incac	None	
JQ657806	incac	None	
CP031161	incac	None	
NC_020241	incac	None	
CP021994	incac	None	
NC_025130	incac	None	
CP030349	incac	None	
AP012036	incac	None	
MF078635	incac	None	
AP012298	incac	None	
CP033761	incac	None	
CP038598	incac	None	
CP025250	incac	None	
NC_005327	incac	None	
CP022534	incac	None	
CP034744	incac	None	
AE001577	incac	None	
NC_011648	incac	None	
CP021198	incac	None	
MK041211	incac	None	
CP001938	incac	None	
CP000565	incac	None	
CP003031	incac	None	
CP022675	incac	None	
LT985276	incac	None	
NC_011965	incac	None	
FJ696404	incac	None	
CP032107	incac	None	
CP032610	incac	None	
HG796447	incac	None	
HF545433	incac	None	
CP015991	incac	None	
CP042111	incac	None	
AP019384	incac	None	
CP016721	incac	None	
CP024398	incac	None	
GU195642	incac	None	
CP036969	incac	None	
CP042327	incac	None	
CP010004	incac	None	
CP003469	incac	None	
CP030938	incac	None	
CP035160	incac	None	
CP039568	incac	None	
NC_022599	incac	None	
CP026148	incac	None	
CP020493	incac	None	
AJ744860	incac	None	
CP030480	incac	None	
CP019709	incac	None	
CP013785	incac	None	
KM085450	incac	None	
NC_005244	incac	None	
CP016362	incac	None	
CP017318	incac	None	
CP033437	incac	None	
AY929248	incac	None	
JX101647	incac	None	
CP012281	incac	None	
CP024524	incac	None	
NC_011332	incac	None	
CP001929	incac	None	
NC_011790	incac	None	
KX009064	incac	None	
AY509003	incac	None	
CP001246	incac	None	
CP001520	incac	None	
CP009219	incac	None	
CP003580	incac	None	
AJ871637	incac	None	
HQ833018	incac	None	
KC734560	incac	None	
CP000710	incac	None	
CP015169	incac	None	
CP020758	incac	None	
CP021875	incac	None	
CP021004	incac	None	
CP029723	incac	None	
AY541809	incac	None	
CP039711	incac	None	
CP032264	incac	None	
CP002647	incac	None	
CP044541	incac	None	
CP016520	incac	None	
CP045390	incac	None	
DQ458911	incac	None	
JN935898	incac	None	
KY296096	incac	None	
CP010320	incac	None	
CP043521	incac	None	
CP004127	incac	None	
CP015325	incac	None	
CP009439	incac	None	
AB198069	incac	None	
CP026015	incac	None	
CP010909	incac	None	
MK671726	incac	None	
AP019404	incac	None	
U88088	incac	None	
AY546103	incac	None	
CP017725	incac	None	
LC483179	incac	None	
CP034699	incac	None	
CP035218	incac	None	
MG299134	incac	None	
JQ418541	incac	None	
CP042897	incac	None	
NC_012193	incac	None	
CP000833	incac	None	
NC_012509	incac	None	
AP020319	incac	None	
NC_009378	incac	None	
MG197502	incac	None	
HG796418	incac	None	
CP006919	incac	None	
CP041100	incac	None	
MG836696	incac	None	
KX244760	incac	None	
KY579372	incac	None	
MF150123	incac	3	
MG197495	incac	None	
CP017425	incac	None	
CP017586	incac	None	
MK431775	incac	None	
CP030090	incac	None	
CP038603	incac	None	
CP029836	incac	None	
MK933276	incac	None	
CP017417	incac	None	
NC_015922	incac	None	
CP040237	incac	None	
CP010582	incac	None	
CP010374	incac	None	
CP033436	incac	None	
AF236060	incac	None	
CP037219	incac	None	
CP006056	incac	None	
CP031542	incac	None	
CP012704	incac	None	
NC_014107	incac	None	
MH522414	incac	None	
CP022060	incac	None	
MH785256	incac	None	
AP001071	incac	None	
CP036561	incac	None	
CP037515	incac	None	
CP017589	incac	None	
MF996511	incac	None	
CP038793	incac	None	
NC_023899	incac	None	
JQ418528	incac	None	
CP045259	incac	None	
CP007558	incac	3	
CP022269	incac	None	
MF150121	incac	3	
NC_017213	incac	None	
CP033882	incac	None	
NC_009496	incac	None	
CP024708	incac	None	
CP042007	incac	None	
CP038851	incac	None	
NC_023330	incac	None	
AE000667	incac	None	
CP010758	incac	None	
CP024211	incac	None	
CP021101	incac	None	
CP024577	incac	None	
CP020697	incac	None	
NC_021724	incac	None	
NC_002611	incac	None	
CP024359	incac	None	
CP027180	incac	None	
CP004864	incac	None	
CP020746	incac	None	
FP928999	incac	None	
LT985257	incac	None	
CP020734	incac	None	
CP011527	incac	None	
CP018922	incac	None	
AP018252	incac	None	
NC_011974	incac	None	
LS998788	incac	None	
CP019014	incac	None	
CP016597	incac	None	
CP001286	incac	None	
LR134218	incac	None	
CP030444	incac	None	
KT935446	incac	Novel	3,9
CP041445	incac	None	
CP011590	incac	None	
NC_017637	incac	None	
AP019401	incac	None	
CP035560	incac	None	
CP040809	incac	None	
CP023738	incac	None	
CP042866	incac	None	
CP034821	incac	None	
NC_012113	incac	None	
LT985275	incac	None	
CP034828	incac	None	
CP033887	incac	None	
NC_009350	incac	None	
CP030186	incac	None	
HE616891	incac	None	
CP004863	incac	None	
CP018365	incac	None	
CP040725	incac	None	
JX442977	incac	None	
CP001170	incac	None	
CP023361	incac	None	
CP016842	incac	None	
NC_019743	incac	None	
CP033517	incac	None	
CP023906	incac	None	
CP018989	incac	None	
CP035723	incac	None	
CP042136	incac	None	
CP015299	incac	None	
CP000014	incac	None	
CP036334	incac	None	
KJ541070	incac	None	
KC853439	incac	None	
CP029374	incac	None	
HG796847	incac	None	
CP010672	incac	None	
CP037249	incac	None	
NC_010113	incac	None	
CP019461	incac	None	
KX709966	incac	1	
CP017573	incac	None	
AP018239	incac	None	
CP001915	incac	None	
CP013734	incac	None	
KX960109	incac	None	
CP030685	incac	None	
JN106165	incac	None	
NC_009790	incac	None	
CP033764	incac	None	
CP010386	incac	None	
CP010141	incac	None	
CP008840	incac	None	
CP032114	incac	None	
CP015008	incac	None	
MG649065	incac	None	
CP013513	incac	None	
CP023793	incac	None	
CP002995	incac	None	
MF774791	incac	None	
KU743384	incac	None	
AE003851	incac	None	
CP039600	incac	None	
JQ245702	incac	None	
CP016536	incac	None	
CP016451	incac	None	
CP024393	incac	None	
NC_019211	incac	None	
CP013804	incac	None	
NC_022375	incac	None	
CP002127	incac	None	
CP023027	incac	None	
CP032688	incac	None	
CP034586	incac	None	
MK439382	incac	None	
CP035511	incac	None	
MF589339	incac	None	
CP042417	incac	None	
LT985247	incac	None	
CP011611	incac	None	
NC_010857	incac	None	
CP023982	incac	None	
KT779550	incac	None	
CP042614	incac	None	
CP034774	incac	None	
CP019318	incac	None	
JQ066766	incac	None	
CP024322	incac	None	
CP026838	incac	None	
FN822749	incac	None	
CP042006	incac	None	
CP010579	incac	None	
LT984414	incac	None	
CP034138	incac	None	
MH547560	incac	None	
KJ776582	incac	None	
CP033879	incac	None	
CP027615	incac	None	
MK416151	incac	None	
CP037225	incac	None	
CP031446	incac	None	
MK416183	incac	None	
CP032109	incac	None	
NC_018746	incac	None	
FJ705807	incac	11	
HE579060	incac	None	
MG552133	incac	None	
CP044017	incac	None	
NC_020087	incac	None	
CP003968	incac	None	
CP013072	incac	None	
CP034580	incac	None	
CP001345	incac	None	
CP035157	incac	None	
CP005090	incac	None	
CP045446	incac	None	
NC_012107	incac	None	
CP018739	incac	None	
AB914479	incac	None	
CP020829	incac	None	
CP021681	incac	None	
CP031220	incac	None	
CP039925	incac	None	
CP024430	incac	None	
CP034041	incac	None	
CP024167	incac	None	
CP019251	incac	None	
CP026163	incac	None	
CP032119	incac	None	
CP031590	incac	None	
NC_017410	incac	None	
JX065631	incac	None	
CP001573	incac	None	
CP026685	incac	None	
CP033519	incac	None	
CP014753	incac	None	
AP018831	incac	None	
MG212496	incac	None	
CP001539	incac	None	
CP030677	incac	None	
CP017199	incac	None	
CP020074	incac	None	
NC_020282	incac	None	
NC_012631	incac	None	
AB480167	incac	None	
AP011126	incac	None	
CP031072	incac	None	
CP012473	incac	None	
CP029106	incac	None	
CP003647	incac	None	
CP029793	incac	None	
MH507589	incac	None	
CP035148	incac	None	
NC_017858	incac	None	
CP020839	incac	None	
CP032277	incac	None	
CP021877	incac	None	
NC_023905	incac	None	
CP018960	incac	None	
CP002128	incac	None	
NC_018997	incac	None	
CP031851	incac	None	
CP029955	incac	None	
FN428572	incac	None	
HG796850	incac	None	
CP000063	incac	None	
CP032800	incac	None	
HG796808	incac	None	
AP019676	incac	None	
NC_009929	incac	None	
CP014871	incac	None	
CP022575	incac	None	
CP003432	incac	None	
NC_022610	incac	None	
MH049740	incac	None	
MH476540	incac	3	
NC_013311	incac	None	
AB018481	incac	None	
CP018048	incac	None	
CP041268	incac	None	
NC_007959	incac	None	
CP029628	incac	None	
CP037269	incac	None	
KU302808	incac	None	
CP009939	incac	None	
CP016461	incac	None	
MG462728	incac	None	
AF243383	incac	None	
NC_012130	incac	None	
CP018336	incac	None	
NC_018682	incac	None	
AP018582	incac	None	
CP044103	incac	None	
CP037419	incac	None	
CP020499	incac	None	
CP015733	incac	None	
CP021414	incac	None	
CP010452	incac	None	
CP013736	incac	None	
MH522409	incac	None	
MF175190	incac	None	
KY595965	incac	None	
CP032995	incac	None	
KP691641	incac	None	
CP043182	incac	None	
NC_020422	incac	None	
NC_012247	incac	None	
JQ041633	incac	None	
CP010743	incac	None	
CP018433	incac	None	
CP033825	incac	None	
MF344562	incac	None	
EF050075	incac	None	
KC491195	incac	None	
NC_007322	incac	None	
CP015089	incac	None	
CP030208	incac	None	
CP024254	incac	None	
CP044792	incac	None	
CP034652	incac	None	
CP025516	incac	None	
LT960792	incac	None	
CP013024	incac	None	
KP900015	incac	None	
LR134445	incac	None	
HG934082	incac	None	
CP028905	incac	None	
CP039718	incac	None	
CP026168	incac	None	
HM235948	incac	None	
CP044662	incac	None	
KX646543	incac	None	
AP018525	incac	None	
NC_010722	incac	None	
CP009881	incac	None	
CP042209	incac	None	
CP042827	incac	None	
CP025054	incac	None	
CP017224	incac	None	
KX912255	incac	None	
MG210937	incac	None	
CP018996	incac	None	
CP037253	incac	None	
CP023883	incac	None	
CP003780	incac	None	
CP044170	incac	None	
CP017223	incac	None	
CP010622	incac	None	
CP014850	incac	None	
CP015015	incac	None	
NC_013420	incac	None	
CP021010	incac	None	
AB479513	incac	None	
CP016699	incac	None	
CP018981	incac	None	
KY000061	incac	None	
CP038624	incac	None	
LR134412	incac	None	
CP016361	incac	None	
CP033461	incac	None	
MG764549	incac	None	
CP030338	incac	None	
CP015391	incac	None	
CP037069	incac	None	
NC_017415	incac	None	
CP013512	incac	None	
EU881985	incac	None	
CP005091	incac	None	
NC_012040	incac	None	
NC_012260	incac	None	
CP044807	incac	None	
KM210086	incac	None	
MK933269	incac	None	
AB000510	incac	None	
CP039994	incac	None	
NC_014917	incac	None	
CP001449	incac	None	
CU468233	incac	None	
CP025338	incac	None	
CP024218	incac	None	
CP022184	incac	None	
KT868530	incac	None	
CP011953	incac	None	
CP023425	incac	None	
MH785228	incac	None	
CP020440	incac	None	
CP041966	incac	None	
CP031511	incac	None	
NC_021180	incac	None	
CP026534	incac	None	
AP006842	incac	None	
NC_006323	incac	None	
CP018473	incac	None	
AB265741	incac	None	
MF547664	incac	None	
MH143074	incac	None	
CP033050	incac	None	
CP022178	incac	None	
CP023790	incac	None	
NC_005918	incac	None	
HG796315	incac	None	
CP020824	incac	None	
CP035754	incac	None	
NC_003114	incac	None	
NC_012153	incac	None	
CP015530	incac	None	
CP038274	incac	None	
MH202956	incac	None	
CP021278	incac	None	
NC_021988	incac	None	
CP026579	incac	None	
CP031177	incac	None	
CP030077	incac	3	
